# this file is a copy of the TLS one, with small modifications made by looking at SSL3-related RFCs and documents
Value,Description,,Reference
"0x00,0x00",SSL_NULL_WITH_NULL_NULL,Y,[RFC5246]
"0x00,0x01",SSL_RSA_WITH_NULL_MD5,Y,[RFC5246]
"0x00,0x02",SSL_RSA_WITH_NULL_SHA,Y,[RFC5246]
"0x00,0x03",SSL_RSA_EXPORT_WITH_RC4_40_MD5,N,[RFC4346][RFC6347]
"0x00,0x04",SSL_RSA_WITH_RC4_128_MD5,N,[RFC5246][RFC6347]
"0x00,0x05",SSL_RSA_WITH_RC4_128_SHA,N,[RFC5246][RFC6347]
"0x00,0x06",SSL_RSA_EXPORT_WITH_RC2_CBC_40_MD5,Y,[RFC4346]
"0x00,0x07",SSL_RSA_WITH_IDEA_CBC_SHA,Y,[RFC5469]
"0x00,0x08",SSL_RSA_EXPORT_WITH_DES40_CBC_SHA,Y,[RFC4346]
"0x00,0x09",SSL_RSA_WITH_DES_CBC_SHA,Y,[RFC5469]
"0x00,0x0A",SSL_RSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC5246]
"0x00,0x0B",SSL_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,Y,[RFC4346]
"0x00,0x0C",SSL_DH_DSS_WITH_DES_CBC_SHA,Y,[RFC5469]
"0x00,0x0D",SSL_DH_DSS_WITH_3DES_EDE_CBC_SHA,Y,[RFC5246]
"0x00,0x0E",SSL_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,Y,[RFC4346]
"0x00,0x0F",SSL_DH_RSA_WITH_DES_CBC_SHA,Y,[RFC5469]
"0x00,0x10",SSL_DH_RSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC5246]
"0x00,0x11",SSL_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,Y,[RFC4346]
"0x00,0x12",SSL_DHE_DSS_WITH_DES_CBC_SHA,Y,[RFC5469]
"0x00,0x13",SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA,Y,[RFC5246]
"0x00,0x14",SSL_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,Y,[RFC4346]
"0x00,0x15",SSL_DHE_RSA_WITH_DES_CBC_SHA,Y,[RFC5469]
"0x00,0x16",SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC5246]
"0x00,0x17",SSL_DH_anon_EXPORT_WITH_RC4_40_MD5,N,[RFC4346][RFC6347]
"0x00,0x18",SSL_DH_anon_WITH_RC4_128_MD5,N,[RFC5246][RFC6347]
"0x00,0x19",SSL_DH_anon_EXPORT_WITH_DES40_CBC_SHA,Y,[RFC4346]
"0x00,0x1A",SSL_DH_anon_WITH_DES_CBC_SHA,Y,[RFC5469]
"0x00,0x1B",SSL_DH_anon_WITH_3DES_EDE_CBC_SHA,Y,[RFC5246]

